ts	x	y	z	label
2020-09-03 09:21:38.714000	-0.544	0.544	-0.64	low_cupboard
2020-09-03 09:21:38.715000	-0.576	0.544	-0.64	low_cupboard
2020-09-03 09:21:38.744000	-0.544	0.512	-0.736	low_cupboard
2020-09-03 09:21:38.793000	-0.608	0.0	-0.736	low_cupboard
2020-09-03 09:21:38.824000	-0.64	0.512	-0.672	low_cupboard
2020-09-03 09:21:38.844000	-0.672	0.48	-0.672	low_cupboard
2020-09-03 09:21:38.895000	-0.704	0.448	-0.64	low_cupboard
2020-09-03 09:21:38.924000	-0.576	0.512	-0.736	low_cupboard
2020-09-03 09:21:38.925000	-0.608	0.512	-0.704	low_cupboard
2020-09-03 09:21:38.954000	-0.48	0.64	-0.704	low_cupboard
2020-09-03 09:21:39.003000	-0.64	0.256	-0.864	low_cupboard
2020-09-03 09:21:39.024000	-0.672	0.512	-0.672	low_cupboard
2020-09-03 09:21:39.072000	-0.576	0.384	-0.832	low_cupboard
2020-09-03 09:21:39.095000	-0.704	0.448	-0.672	low_cupboard
2020-09-03 09:21:39.124000	-0.544	0.416	-0.736	low_cupboard
2020-09-03 09:21:39.125000	-0.576	0.512	-0.736	low_cupboard
2020-09-03 09:21:39.125000	-0.544	0.48	-0.736	low_cupboard
2020-09-03 09:21:39.234000	-0.64	0.544	-0.672	low_cupboard
2020-09-03 09:21:39.305000	-0.704	0.448	-0.704	low_cupboard
2020-09-03 09:21:39.314000	-0.512	0.544	-0.736	low_cupboard
2020-09-03 09:21:39.325000	-0.576	0.448	-0.768	low_cupboard
2020-09-03 09:21:39.334000	-0.544	0.512	-0.768	low_cupboard
2020-09-03 09:21:39.443000	-0.576	0.32	-0.768	low_cupboard
2020-09-03 09:21:39.444000	-0.672	0.544	-0.64	low_cupboard
2020-09-03 09:21:39.514000	-0.576	0.352	-0.832	low_cupboard
2020-09-03 09:21:39.515000	-0.672	0.448	-0.672	low_cupboard
2020-09-03 09:21:39.535000	-0.544	0.416	-0.8	low_cupboard
2020-09-03 09:21:39.544000	-0.544	0.544	-0.8	low_cupboard
2020-09-03 09:21:39.624000	-0.576	0.384	-0.832	low_cupboard
2020-09-03 09:21:39.644000	-0.672	0.544	-0.608	low_cupboard
2020-09-03 09:21:39.695000	-0.672	0.576	-0.64	low_cupboard
2020-09-03 09:21:39.724000	-0.64	0.576	-0.768	low_cupboard
2020-09-03 09:21:39.725000	-0.64	0.48	-0.704	low_cupboard
2020-09-03 09:21:39.735000	-0.544	0.384	-0.8	low_cupboard
2020-09-03 09:21:39.754000	-0.48	0.48	-0.768	low_cupboard
2020-09-03 09:21:39.824000	-0.64	0.352	-0.8	low_cupboard
2020-09-03 09:21:39.895000	-0.64	0.544	-0.64	low_cupboard
2020-09-03 09:21:39.924000	-0.512	0.512	-0.8	low_cupboard
2020-09-03 09:21:39.925000	-0.576	0.416	-0.8	low_cupboard
2020-09-03 09:21:39.925000	-0.64	0.48	-0.704	low_cupboard
2020-09-03 09:21:39.945000	-0.512	0.384	-0.864	low_cupboard
2020-09-03 09:21:40.034000	-0.64	0.384	-0.864	low_cupboard
2020-09-03 09:21:40.105000	-0.672	0.544	-0.576	low_cupboard
2020-09-03 09:21:40.114000	-0.544	0.544	-0.768	low_cupboard
2020-09-03 09:21:40.125000	-0.608	0.64	-0.672	low_cupboard
2020-09-03 09:21:40.134000	-0.64	0.512	-0.8	low_cupboard
2020-09-03 09:21:40.146000	-0.544	0.384	-0.864	low_cupboard
2020-09-03 09:21:40.244000	-0.672	0.352	-0.832	low_cupboard
2020-09-03 09:21:40.314000	-0.608	0.416	-0.736	low_cupboard
2020-09-03 09:21:40.315000	-0.672	0.544	-0.608	low_cupboard
2020-09-03 09:21:40.335000	-0.576	0.608	-0.736	low_cupboard
2020-09-03 09:21:40.344000	-0.608	0.48	-0.768	low_cupboard
2020-09-03 09:21:40.356000	-0.544	0.384	-0.832	low_cupboard
2020-09-03 09:21:40.444000	-0.704	0.32	-0.864	low_cupboard
2020-09-03 09:21:40.495000	-0.672	0.224	-0.864	low_cupboard
2020-09-03 09:21:40.524000	-0.64	0.48	-0.736	low_cupboard
2020-09-03 09:21:40.525000	-0.672	0.544	-0.608	low_cupboard
2020-09-03 09:21:40.535000	-0.608	0.544	-0.672	low_cupboard
2020-09-03 09:21:40.554000	-0.64	0.512	-0.736	low_cupboard
2020-09-03 09:21:40.556000	-0.544	0.416	-0.832	low_cupboard
2020-09-03 09:21:40.695000	-0.704	0.384	-0.8	low_cupboard
2020-09-03 09:21:40.724000	-0.576	0.48	-0.736	low_cupboard
2020-09-03 09:21:40.725000	-0.672	0.512	-0.672	low_cupboard
2020-09-03 09:21:40.725000	-0.608	0.544	-0.704	low_cupboard
2020-09-03 09:21:40.745000	-0.608	0.512	-0.736	low_cupboard
2020-09-03 09:21:40.756000	-0.544	0.416	-0.768	low_cupboard
2020-09-03 09:21:40.905000	-0.736	0.48	-0.8	low_cupboard
2020-09-03 09:21:40.914000	-0.608	0.416	-0.704	low_cupboard
2020-09-03 09:21:40.925000	-0.64	0.448	-0.8	low_cupboard
2020-09-03 09:21:40.934000	-0.672	0.512	-0.64	low_cupboard
2020-09-03 09:21:40.946000	-0.576	0.544	-0.736	low_cupboard
2020-09-03 09:21:41.114000	-0.64	0.448	-0.768	low_cupboard
2020-09-03 09:21:41.115000	-0.736	0.352	-0.608	low_cupboard
2020-09-03 09:21:41.135000	-0.704	0.448	-0.768	low_cupboard
2020-09-03 09:21:41.144000	-0.64	0.544	-0.64	low_cupboard
2020-09-03 09:21:41.156000	-0.608	0.48	-0.736	low_cupboard
2020-09-03 09:21:41.324000	-0.608	0.512	-0.768	low_cupboard
2020-09-03 09:21:41.325000	-0.832	0.224	-0.704	low_cupboard
2020-09-03 09:21:41.335000	-0.672	0.448	-0.672	low_cupboard
2020-09-03 09:21:41.354000	-0.64	0.544	-0.672	low_cupboard
2020-09-03 09:21:41.356000	-0.576	0.448	-0.736	low_cupboard
2020-09-03 09:21:41.524000	-0.64	0.48	-0.64	low_cupboard
2020-09-03 09:21:41.525000	-0.928	0.192	-0.576	low_cupboard
2020-09-03 09:21:41.525000	-0.608	0.48	-0.736	low_cupboard
2020-09-03 09:21:41.545000	-0.64	0.544	-0.672	low_cupboard
2020-09-03 09:21:41.556000	-0.576	0.384	-0.832	low_cupboard
2020-09-03 09:21:41.714000	-0.608	0.544	-0.704	low_cupboard
2020-09-03 09:21:41.725000	-0.64	0.512	-0.768	low_cupboard
2020-09-03 09:21:41.734000	-1.024	0.416	-0.608	low_cupboard
2020-09-03 09:21:41.746000	-0.64	0.544	-0.64	low_cupboard
2020-09-03 09:21:41.914000	-0.608	0.544	-0.704	low_cupboard
2020-09-03 09:21:41.935000	-0.672	0.48	-0.736	low_cupboard
2020-09-03 09:21:41.944000	-0.832	0.288	-0.576	low_cupboard
2020-09-03 09:21:41.956000	-0.64	0.48	-0.64	low_cupboard
2020-09-03 09:21:42.124000	-0.608	0.448	-0.672	low_cupboard
2020-09-03 09:21:42.135000	-0.64	0.512	-0.672	low_cupboard
2020-09-03 09:21:42.154000	-0.768	0.096	-0.608	low_cupboard
2020-09-03 09:21:42.156000	-0.64	0.48	-0.64	low_cupboard
2020-09-03 09:21:42.324000	-0.736	0.096	-0.544	low_cupboard
2020-09-03 09:21:42.325000	-0.704	0.416	-0.8	low_cupboard
2020-09-03 09:21:42.345000	-0.64	0.48	-0.672	low_cupboard
2020-09-03 09:21:42.356000	-0.576	0.544	-0.768	low_cupboard
2020-09-03 09:21:42.514000	-0.704	0.096	-0.544	low_cupboard
2020-09-03 09:21:42.525000	-0.576	0.544	-0.736	low_cupboard
2020-09-03 09:21:42.546000	-0.672	0.512	-0.704	low_cupboard
2020-09-03 09:21:42.714000	-0.736	0.096	-0.544	low_cupboard
2020-09-03 09:21:42.735000	-0.544	0.512	-0.704	low_cupboard
2020-09-03 09:21:42.756000	-0.672	0.448	-0.704	low_cupboard
